,Invoice_ID,City,Product_line,Unit_price,Quantity,Date,Payment
0,750-67-8428,Yangon,Health and beauty,,0,01-05-2019,
1,226-31-3081,Naypyitaw,Electronic accessories,,0,02-05-2019,
2,631-41-3108,Yangon,Home and lifestyle,,0,03-05-2019,
3,123-19-1176,Yangon,Health and beauty,58.22,8,04-05-2019,Ewallet
4,373-73-7910,Yangon,Sports and travel,,0,05-05-2019,
5,699-14-3026,Naypyitaw,Electronic accessories,,0,06-05-2019,
6,355-53-5943,Yangon,Electronic accessories,68.84,6,07-05-2019,Ewallet
7,315-22-5665,Naypyitaw,Home and lifestyle,73.56,10,08-05-2019,Ewallet
8,665-32-9167,Yangon,Health and beauty,36.26,2,09-05-2019,Credit card
9,692-92-5582,Mandalay,Food and beverages,,0,10-05-2019,
10,351-62-0822,Mandalay,Fashion accessories,14.48,4,11-05-2019,Ewallet
11,529-56-3974,Mandalay,Electronic accessories,25.51,4,12-05-2019,Cash
12,365-64-0515,Yangon,Electronic accessories,,0,13-05-2019,
13,252-56-2699,Yangon,Food and beverages,43.19,10,14-05-2019,Ewallet
14,829-34-3910,Yangon,Health and beauty,71.38,10,15-05-2019,Cash
15,299-46-1805,Mandalay,Sports and travel,93.72,6,16-05-2019,Cash
16,656-95-9349,Yangon,Health and beauty,,0,17-05-2019,
17,765-26-6951,Yangon,Sports and travel,72.61,6,18-05-2019,Credit card
18,329-62-1586,Yangon,Food and beverages,,0,19-05-2019,
19,319-50-3348,Mandalay,Home and lifestyle,40.3,2,20-05-2019,Ewallet
20,300-71-4605,Naypyitaw,Electronic accessories,,0,21-05-2019,
21,371-85-5789,Mandalay,Health and beauty,,0,22-05-2019,
22,273-16-6619,Mandalay,Home and lifestyle,33.2,2,23-05-2019,Credit card
23,636-48-8204,Yangon,Electronic accessories,,0,24-05-2019,
24,549-59-1358,Yangon,Sports and travel,,0,25-05-2019,
25,227-03-5010,Yangon,Home and lifestyle,52.59,8,26-05-2019,Credit card
26,649-29-6775,Mandalay,Fashion accessories,,0,27-05-2019,
27,189-17-4241,Yangon,Fashion accessories,87.67,2,28-05-2019,Credit card
28,145-94-9061,Mandalay,Food and beverages,,0,29-05-2019,
29,848-62-7243,Yangon,Health and beauty,,0,30-05-2019,
30,871-79-8483,Mandalay,Fashion accessories,,0,31-05-2019,
31,149-71-6266,Mandalay,Sports and travel,,0,01-06-2019,
